255,5,11,12,9,4,1,5,12,21,24,25,26,27,26,23,19,21,21,22,22,23,23,26,24,23,21,19,19,23,28,20,10,6,5,5,6,7,6,4,3,3,3,3,2,2,255,255,254,254,254,252,255,254,255,0,2,1,255,253,253,1,1,2,2,1,1,0,3,5,5,6,6,5,5,6,7,7,9,10,10,10,14,16,16,19,23,25,25,21,20,21,22,22,21,21,21,22,25,21,22,24,23,20,15,11,9,8,8,9,9,7,4,1,254,251,251,253,254,253,250,249,251,253,254,254,254,252,253,252,253,254,255,255,254,254,253,254,254,253,253,254,255,253,252,252,253,253,252,252,253,253,253,254,253,253,253,253,254,253,253,254,254,252,251,252,0,0,254,253,255,255,255,255,255,254,253,252,254,254,251,253,0,1,0,0,254,253,253,2,255,254,255,255,253,253,252,253,254,255,255,255,254,254,255,1,2,2,0,255,254,0,0,1,1,0,255,255,1,255,254,0,1,0,0,0,252,250,254,0,1,255,253,0,253,254,254,255,0,0,0,254,0,1,0,255,0,0,254,253,253,254,254,255,0,255,254,255,0,0,255,255,255,0,255,0,0,254,254,0,0,253,253,254,254,254,254,254,255,0,1,255,253,254,1,1,0
255,5,7,9,11,11,11,7,6,7,2,254,254,253,254,255,1,1,0,254,253,253,255,2,255,255,0,0,255,0,2,5,9,12,14,13,11,12,11,11,12,13,14,13,13,14,13,14,15,16,13,14,13,14,15,16,16,15,14,13,11,10,13,14,14,12,12,14,13,15,13,13,13,13,12,14,14,14,11,10,11,10,9,8,8,7,5,5,5,2,1,2,255,0,1,1,3,0,0,0,2,5,7,8,11,13,15,16,14,12,13,14,15,13,14,13,13,12,11,11,12,12,12,12,12,12,12,12,13,13,12,12,12,11,12,12,12,14,15,14,12,11,11,10,11,13,14,13,12,11,11,13,13,13,13,13,13,13,13,14,14,13,12,11,11,12,12,11,12,11,10,12,12,13,13,12,12,10,10,11,12,11,11,12,12,12,12,14,15,13,12,13,13,13,12,13,12,12,12,10,10,10,9,12,13,10,10,11,12,13,12,12,11,11,11,10,11,12,11,9,10,12,12,13,11,10,10,9,10,10,10,9,8,10,9,10,10,11,13,12,13,14,13,14,14,14,14,13,12,14,14,13,13,13,12,12,14,12,13,13,14,14,13,14,14,14,15,14,13,13,13,13,14,13,13,13,14,13,14,14,13,15,14,9,5,0,255
254,1,1,1,1,1,0,0,255,255,254,254,254,254,253,254,255,254,253,253,254,252,252,254,253,253,252,254,255,254,254,255,0,2,2,2,1,2,1,1,2,3,3,2,1,255,0,2,5,6,7,5,3,3,3,5,7,6,3,3,4,2,2,1,3,5,3,2,2,3,4,2,1,1,2,4,1,2,1,0,1,2,0,1,3,2,0,0,255,254,254,0,255,255,255,255,255,255,255,254,255,1,0,0,1,1,4,5,4,2,2,3,4,3,3,4,5,3,5,7,8,9,8,6,6,7,8,9,10,9,10,8,7,8,7,5,8,10,10,10,9,8,7,6,8,7,7,7,9,7,6,9,8,8,8,9,10,8,8,9,6,6,7,8,8,9,5,8,9,8,6,6,8,9,8,7,7,5,5,7,8,5,7,8,7,7,9,7,8,6,4,7,8,7,7,7,7,10,9,8,9,8,8,5,8,6,6,7,8,7,7,7,7,6,7,7,7,6,5,6,6,8,10,8,6,8,9,8,7,7,8,8,8,8,7,7,6,6,6,6,8,9,7,9,10,9,9,10,8,9,9,7,8,9,6,5,6,6,8,8,8,9,8,8,6,7,9,10,10,10,9,9,8,9,9,11,12,10,8,7,6,8,12,13,14,10,5
251,255,0,254,253,252,253,254,253,253,253,254,255,254,253,253,254,253,254,255,254,253,254,253,253,253,252,254,255,254,254,255,254,254,254,254,255,254,255,254,255,255,255,255,254,251,250,253,0,0,1,255,254,0,254,254,255,0,255,1,1,0,255,253,254,1,0,254,254,255,0,0,255,255,254,255,254,254,253,254,255,254,255,0,1,0,254,254,253,253,252,255,255,255,0,255,254,255,0,255,255,255,255,254,254,254,254,0,0,0,0,0,0,255,0,0,1,2,3,4,3,1,1,2,1,2,2,3,4,4,4,3,2,2,1,0,2,3,3,4,3,1,2,1,3,2,2,3,2,1,1,2,2,2,2,4,4,2,2,4,1,3,4,4,3,3,0,2,3,2,1,2,3,4,2,2,1,1,1,2,4,2,0,0,0,2,2,1,2,2,0,2,3,2,1,2,1,3,0,0,0,0,255,255,0,0,1,3,1,255,2,4,2,0,0,1,1,0,255,253,255,1,2,2,1,3,2,2,2,2,2,2,1,1,5,2,2,2,1,2,2,2,3,3,3,2,2,3,1,1,3,2,3,2,0,255,1,1,1,2,4,4,2,1,255,1,1,3,4,3,3,3,2,4,2,4,5,3,3,2,1,1,4,5,8,12,9
251,252,255,255,254,252,254,253,251,250,251,252,252,251,253,254,254,255,0,0,255,254,1,255,254,255,255,255,255,255,255,0,255,254,255,0,0,0,1,0,0,255,0,0,255,253,253,254,0,0,255,254,255,255,255,253,253,254,0,255,0,254,254,253,252,0,1,255,254,255,254,255,253,252,253,253,252,252,252,252,253,252,253,254,255,253,252,252,251,253,252,254,254,0,0,255,255,254,255,254,255,255,255,252,253,252,254,254,254,254,255,0,0,0,0,255,0,3,3,4,0,255,254,0,0,1,2,1,1,1,0,0,0,0,1,255,255,255,1,1,1,255,1,0,2,1,0,0,0,255,0,0,0,255,0,1,1,0,0,1,255,2,3,1,1,2,1,2,2,1,1,0,0,2,1,1,1,1,1,1,2,0,255,254,255,0,0,0,0,0,0,0,0,0,1,1,0,1,0,255,254,254,255,0,255,0,0,255,255,254,1,3,2,255,255,0,0,0,255,253,255,255,0,0,1,2,2,1,1,1,2,1,1,0,3,2,1,1,1,0,1,1,3,2,2,1,1,0,255,255,0,2,2,0,0,0,1,2,0,1,3,1,1,0,0,1,0,0,1,1,1,1,2,5,1,2,2,0,2,2,0,254,255,254,2,9,11
253,251,254,255,254,254,0,250,246,246,247,246,245,244,246,246,247,248,251,251,250,251,251,251,250,250,251,250,250,251,250,251,251,250,251,252,252,252,251,251,253,252,253,252,251,252,252,252,252,252,252,252,254,253,253,253,252,250,248,247,247,247,246,246,246,247,248,248,248,246,247,248,247,244,247,246,246,247,247,247,246,247,247,247,248,247,246,245,245,247,247,247,249,251,254,0,255,254,255,251,247,247,247,246,246,246,246,247,246,246,246,247,249,248,248,247,248,250,250,250,249,249,249,248,250,251,251,250,250,250,250,248,247,249,251,248,247,248,250,252,251,250,251,249,251,250,250,250,250,251,249,249,250,250,249,249,249,249,251,249,248,250,251,251,252,252,251,252,252,253,251,250,248,250,250,251,251,251,251,251,251,249,250,252,251,251,251,251,0,255,0,254,252,252,253,252,250,252,252,251,250,251,253,253,253,251,250,250,249,250,251,252,252,252,252,252,252,252,252,252,254,253,252,253,254,254,254,253,251,252,253,254,253,251,251,252,252,250,250,251,251,251,254,254,253,252,251,251,250,250,249,252,251,250,251,251,251,253,251,251,251,251,249,249,250,249,249,247,248,248,249,251,252,252,251,250,249,249,250,251,249,249,255,255,255,7,11
254,252,254,254,255,1,2,250,245,244,244,243,240,237,235,236,237,238,238,240,239,241,241,241,240,239,241,241,242,242,241,242,242,242,241,242,243,242,241,242,242,242,242,243,243,244,245,244,243,244,245,246,246,245,246,247,247,244,240,239,238,238,239,239,238,237,236,238,238,237,239,240,240,237,240,241,242,244,245,243,243,242,243,243,243,242,241,241,241,242,242,241,241,243,248,255,254,255,0,247,239,238,238,238,237,238,238,239,239,239,237,235,237,236,238,238,238,240,240,238,238,239,240,239,239,239,240,241,241,239,240,239,239,241,241,238,238,237,238,240,239,238,240,237,240,239,239,240,240,241,239,239,239,239,239,239,239,239,240,240,240,240,240,241,240,242,239,238,241,242,241,238,238,241,239,240,239,238,238,238,241,240,241,242,242,243,243,243,255,255,0,255,248,243,241,240,240,239,239,239,239,241,243,242,243,243,240,240,242,243,243,241,242,242,243,242,243,242,242,242,243,243,242,243,244,243,243,243,241,241,242,243,241,239,239,240,239,240,240,241,240,242,244,243,241,241,241,241,241,241,239,241,240,239,239,240,240,239,239,240,240,241,239,237,238,238,237,236,236,237,237,237,237,239,237,238,236,237,239,238,239,243,255,0,255,5,9
252,251,251,254,254,1,3,0,253,252,251,253,254,255,253,252,253,252,249,246,247,247,249,250,249,250,250,250,251,250,249,247,248,249,246,244,244,244,244,244,242,242,244,244,243,241,239,238,240,242,239,237,238,237,234,233,237,245,249,253,253,253,254,253,252,251,252,250,251,252,252,252,251,248,250,253,255,254,253,253,254,1,0,254,254,254,255,0,1,255,254,0,255,252,249,254,255,0,1,254,252,251,252,253,252,254,254,254,254,254,253,252,253,255,255,253,252,252,253,252,251,252,254,252,252,252,252,249,251,251,249,250,252,252,252,255,254,251,250,251,250,249,250,249,250,251,250,248,247,249,250,250,247,248,248,250,250,250,250,250,249,249,249,249,249,249,248,246,246,249,250,249,250,248,248,250,251,249,249,248,249,245,246,246,249,249,248,251,255,255,0,3,254,250,247,246,247,250,249,248,247,247,248,249,248,249,247,247,248,249,250,249,249,247,250,250,249,250,249,249,251,248,246,247,248,248,248,248,249,249,249,250,250,249,250,251,249,250,249,250,250,249,248,249,249,249,249,249,250,251,252,253,252,252,251,251,250,251,251,251,251,251,250,251,253,253,253,254,253,253,252,251,252,254,254,254,253,253,251,248,249,251,0,255,254,2,6
252,251,254,255,255,0,1,0,254,254,254,254,252,254,254,254,254,255,255,0,253,253,254,252,253,254,252,254,253,253,252,253,253,254,0,254,254,254,254,254,254,253,251,252,254,252,253,253,253,253,252,251,250,251,250,250,251,251,251,252,253,254,254,254,253,252,253,253,253,253,253,254,255,253,253,253,253,254,255,255,255,255,255,254,253,253,253,254,253,253,253,253,254,252,250,255,254,1,2,1,255,254,254,254,255,253,252,253,255,255,254,255,253,253,254,255,255,254,253,254,0,254,254,255,255,254,254,252,252,252,253,254,255,1,2,0,0,254,253,252,252,254,255,254,253,253,252,251,252,254,4,4,1,255,0,0,0,1,253,253,253,253,253,252,252,253,254,253,253,252,253,252,253,253,255,255,253,253,254,254,0,254,253,253,255,0,254,253,0,0,0,5,5,2,255,253,254,0,255,254,255,255,254,252,253,0,255,0,0,0,0,255,2,255,255,254,254,253,255,255,0,254,0,254,255,255,255,255,255,0,255,0,0,255,0,2,1,0,254,254,255,255,255,0,0,255,0,1,0,0,255,1,0,2,3,1,0,255,255,254,0,255,255,0,0,1,1,255,0,255,254,254,0,1,0,255,0,0,0,254,255,250,253,253,253,2,6
252,251,254,252,253,254,1,255,252,254,254,253,251,252,253,254,254,254,254,255,254,253,253,254,254,254,253,254,254,254,253,252,253,253,254,254,253,254,254,0,255,254,253,253,255,255,254,255,255,254,254,253,254,253,253,254,253,254,255,254,254,254,254,255,253,255,253,254,254,254,254,255,254,253,253,252,252,254,254,254,255,254,254,254,253,253,253,254,254,254,253,254,255,253,251,0,255,255,1,0,254,253,253,253,253,254,255,255,255,255,254,253,254,253,254,0,0,254,253,254,254,255,0,255,255,254,253,253,255,254,254,253,253,253,255,255,254,255,255,255,254,255,254,253,253,253,253,253,253,255,2,1,2,1,255,255,254,253,254,254,254,254,255,254,255,253,254,254,254,254,254,255,255,253,253,255,254,253,254,255,1,254,253,255,255,0,254,251,255,1,255,3,4,1,0,0,254,0,0,0,0,0,0,0,1,255,254,254,0,0,254,255,255,254,254,254,253,253,255,0,1,255,254,254,255,255,0,0,254,255,255,0,0,0,0,1,255,254,255,255,0,255,255,255,1,1,0,1,0,255,254,0,1,0,1,0,0,0,0,0,0,0,0,255,0,255,1,2,1,0,255,255,0,0,255,255,0,0,0,3,0,250,253,255,254,2,7
